"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0110020","regulation of actomyosin structure organization","12/744","113/28832",0.106194690265487,4.1153297173851,5.4002578315722,3.65219559296949e-05,0.000334916921949485,0.000187484945390425,"Akap13/Carmil1/Coro2b/Ect2/Kank2/Limch1/Ppp1r9a/Ptger4/Rgcc/S1pr1/Sorbs3/Tjp1",12
"GO:0170062","nutrient storage","12/744","113/28832",0.106194690265487,4.1153297173851,5.4002578315722,3.65219559296949e-05,0.000334916921949485,0.000187484945390425,"Acacb/C3/Ces1g/Cry2/Ffar2/Mest/Msr1/Pla2g4c/Ppara/Smim22/Trem2/Vstm2a",12
"GO:0090068","positive regulation of cell cycle process","20/744","276/28832",0.072463768115942,2.80816580956833,4.91247123003954,3.71415353456212e-05,0.000339982734031708,0.000190320763586965,"Aif1/Apex1/Brd4/Ccne1/Cdc6/Cdca5/Cdk1/Dtl/Dync1h1/Ect2/Gja1/Igf1/Il1a/Knl1/Lrp5/Numa1/Rgcc/Sgo2a/Ska1/Ube2c",20
"GO:1902099","regulation of metaphase/anaphase transition of cell cycle","11/744","96/28832",0.114583333333333,4.44041218637993,5.4952676388991,3.77968501277453e-05,0.000345356778604055,0.000193329128907259,"Bcl7a/Cdc6/Knl1/Kntc1/Ska1/Smarca2/Spc24/Spc25/Spdl1/Trip13/Ube2c",11
"GO:0043537","negative regulation of blood vessel endothelial cell migration","7/744","37/28832",0.189189189189189,7.3315896541703,6.27207140515563,3.88384889854243e-05,0.000353426671993306,0.000197846617938818,"Atp2b4/Card10/Dll4/Jup/Notch1/Rgcc/Thbs1",7
"GO:0051702","biological process involved in interaction with symbiont","7/744","37/28832",0.189189189189189,7.3315896541703,6.27207140515563,3.88384889854243e-05,0.000353426671993306,0.000197846617938818,"Arg1/Cxcl1/Cxcl5/Fn1/Gapdh/Gpx1/Gpx2",7
"GO:0046879","hormone secretion","26/744","418/28832",0.062200956937799,2.4104542882132,4.72755816642707,3.88895014421714e-05,0.000353426671993306,0.000197846617938818,"Acvr2b/Adora3/Adra2a/Baiap3/Bmp6/Cry2/Dio2/Ffar2/Fgf23/Gja1/Gnao1/Ifng/Il1rn/Il6/Inhba/Kalrn/Lif/Lrp5/Ltbp4/Nr1d1/Osm/Per2/Ptger4/Slc16a1/Spp1/Tnfsf11",26
"GO:0032649","regulation of type II interferon production","13/744","132/28832",0.0984848484848485,3.81655262300424,5.2786127158224,3.9045061069224e-05,0.000354204478731921,0.000198282030557161,"Bcl3/Ccr2/Cd14/Clec7a/Il10/Il1rl1/Il21/Il33/Lilrb4a/Pdcd1lg2/Pglyrp1/Pycard/Tlr4",13
"GO:0044248","cellular catabolic process","22/744","323/28832",0.0681114551083591,2.63950198075835,4.82256541706217,3.971391747831e-05,0.000359627639132746,0.000201317890691292,"Aass/Acaa1b/Acacb/Ace/Adtrp/Arg1/Arg2/Atp2b4/Cyp4f18/Dbi/Fabp1/Gprasp1/Hal/Hdc/Kynu/Ldhc/Lgmn/Lpin2/Npl/Pon1/Slc16a1/Tdo2",22
"GO:0038034","signal transduction in absence of ligand","10/744","80/28832",0.125,4.84408602150538,5.60350770957759,3.98358493224782e-05,0.000360087623697116,0.000201575387925022,"Bcl2a1a/Bcl2a1b/Bcl2a1d/Foxo3/Igf1/Il1a/Il4/Inhba/Lcn2/Ret",10
"GO:0050672","negative regulation of lymphocyte proliferation","11/744","97/28832",0.11340206185567,4.39463474115952,5.4504107252649,4.16510087070715e-05,0.000375824253253469,0.000210384680438008,"Arg1/Arg2/Cd300a/Fcgr2b/H2-Aa/Il10/Lilrb4a/Pdcd1lg2/Sftpd/Tarm1/Tyrobp",11
"GO:0001678","intracellular glucose homeostasis","17/744","213/28832",0.07981220657277,3.09293755363724,4.9897037070774,4.22901314854604e-05,0.000380912180746264,0.000213232878739201,"Ace/Adra2a/Baiap3/Ccl2/Col1a1/Foxa3/Foxo3/Gclc/Gpx1/Hk3/Igf1/Klf15/Lrp5/Nr1d1/Tjp1/Trem2/Vcam1",17
"GO:0051402","neuron apoptotic process","25/744","396/28832",0.0631313131313131,2.44650809166938,4.71726332791475,4.28145468576564e-05,0.000383183902358774,0.000214504578001169,"Adam8/Agrn/Casp4/Ccl12/Ccl3/Ccr5/Chl1/Ctsb/Egln3/Fcgr2b/Foxo3/Gapdh/Gclc/Gpx1/Hmox1/Il10/Il6/Kdr/Lcn2/Lgmn/Mt1/Ncf2/Nes/Nfix/Trem2",25
"GO:0043373","CD4-positive, alpha-beta T cell lineage commitment","6/744","26/28832",0.230769230769231,8.94292803970223,6.59449793212287,4.28451380353746e-05,0.000383183902358774,0.000214504578001169,"Batf/Brd4/Il4/Il6/Irf4/Lgals1",6
"GO:0051043","regulation of membrane protein ectodomain proteolysis","6/744","26/28832",0.230769230769231,8.94292803970223,6.59449793212287,4.28451380353746e-05,0.000383183902358774,0.000214504578001169,"Adam8/Adra2a/Ifng/Il10/Rgma/Timp1",6
"GO:1901623","regulation of lymphocyte chemotaxis","6/744","26/28832",0.230769230769231,8.94292803970223,6.59449793212287,4.28451380353746e-05,0.000383183902358774,0.000214504578001169,"Ccl12/Ccl3/Ccl7/Ccr2/Cxcl10/Il4",6
"GO:0009199","ribonucleoside triphosphate metabolic process","20/744","279/28832",0.0716845878136201,2.77797047828265,4.85687232560877,4.32443426275991e-05,0.000386072067691193,0.000216121359609202,"Ak2/Eno1/Eno1b/Fbp1/Fignl1/Gale/Gapdh/Hk3/Ifng/Igf1/Il4/Itpa/Ldhc/Myh7/Nme1/Nme2/Nme7/Pgk1/Ppara/Trem2",20
"GO:0010595","positive regulation of endothelial cell migration","12/744","115/28832",0.104347826086957,4.0437587657784,5.32286593594645,4.34911086149633e-05,0.000387591534874901,0.000216971950317793,"Adora2b/Cd40/Flt4/Gata2/Hmox1/Igf1/Jcad/Kdr/Lcn2/Lgmn/Tgfbr3/Thbs1",12
"GO:0003015","heart process","19/744","257/28832",0.0739299610894942,2.86498472867244,4.88770104675925,4.39882642810622e-05,0.000390646655773223,0.000218682192880184,"Ace/Adra1a/Adra1d/Adrb2/Agrn/Ankrd11/Atp2b4/Dsp/Epas1/Gja1/Gnao1/Gpx1/Ifng/Jup/Mdm4/Myh7/Rgs4/Ryr2/Stc1",19
"GO:0009749","response to glucose","19/744","257/28832",0.0739299610894942,2.86498472867244,4.88770104675925,4.39882642810622e-05,0.000390646655773223,0.000218682192880184,"Ace/Acvr2b/Adra2a/Baiap3/Ccl2/Col1a1/Foxo3/Gclc/Gja1/Gpx1/Igf1/Lrp5/Ncf2/Nr1d1/Rasal2/Thbs1/Tjp1/Trem2/Vcam1",19
"GO:1903036","positive regulation of response to wounding","10/744","81/28832",0.123456790123457,4.78428249037568,5.55079889299353,4.44084819028379e-05,0.000393687802788381,0.000220384612927347,"Adra2a/Ccl2/Cldn1/Clec7a/Emilin2/F7/Plau/Ptger4/St3gal4/Thbs1",10
"GO:0045981","positive regulation of nucleotide metabolic process","8/744","51/28832",0.156862745098039,6.07885304659498,5.90817986010561,4.52215110680925e-05,0.000398800155098753,0.000223246484128562,"Adora2b/Eno1/Eno1b/Ifng/Igf1/Il4/Ppara/Trem2",8
"GO:0085029","extracellular matrix assembly","8/744","51/28832",0.156862745098039,6.07885304659498,5.90817986010561,4.52215110680925e-05,0.000398800155098753,0.000223246484128562,"Col3a1/Has2/Ltbp4/Notch1/Pxdn/Rgcc/Tgfbr3/Tnxb",8
"GO:1900544","positive regulation of purine nucleotide metabolic process","8/744","51/28832",0.156862745098039,6.07885304659498,5.90817986010561,4.52215110680925e-05,0.000398800155098753,0.000223246484128562,"Adora2b/Eno1/Eno1b/Ifng/Igf1/Il4/Ppara/Trem2",8
"GO:0009144","purine nucleoside triphosphate metabolic process","20/744","280/28832",0.0714285714285714,2.76804915514593,4.83850279049623,4.54687719102242e-05,0.000400283345060095,0.000224076767015695,"Ak2/Eno1/Eno1b/Fbp1/Fignl1/Gale/Gapdh/Hk3/Ifng/Igf1/Il4/Itpa/Ldhc/Myh7/Nme1/Nme2/Nme7/Pgk1/Ppara/Trem2",20
"GO:0007091","metaphase/anaphase transition of mitotic cell cycle","11/744","98/28832",0.112244897959184,4.34979152951503,5.40615740962668,4.58385577964371e-05,0.000402362919363668,0.000225240903101955,"Bcl7a/Cdc6/Knl1/Kntc1/Ska1/Smarca2/Spc24/Spc25/Spdl1/Trip13/Ube2c",11
"GO:0031644","regulation of nervous system process","15/744","173/28832",0.0867052023121387,3.36005966809621,5.06723949563568,4.58639676951474e-05,0.000402362919363668,0.000225240903101955,"Adrb2/Ccl3/Egr2/Fabp5/Gpr171/Gpr35/Gria1/Ifng/Igf1/Il6/Itgax/Notch1/Rgs4/Shank3/Tppp",15
"GO:0097242","amyloid-beta clearance","7/744","38/28832",0.184210526315789,7.13865308432371,6.16268261129248,4.65547072757615e-05,0.000407716138806063,0.000228237610610726,"C3/Ifng/Il4/Itgam/Msr1/Trem2/Ttpa",7
"GO:0060349","bone morphogenesis","12/744","116/28832",0.103448275862069,4.00889877641824,5.28482380497475,4.73879906349932e-05,0.000414297078746694,0.000231921590381605,"Acp5/Bmp6/Col1a1/Col3a1/Has2/Hspg2/Lrp5/Nfix/Scube2/Stc1/Thbs1/Thbs3",12
"GO:0032964","collagen biosynthetic process","9/744","66/28832",0.136363636363636,5.28445747800586,5.67131773472787,4.80803951732373e-05,0.000419625793736081,0.000234904580410807,"Adora2b/Arg1/Ccl2/Col1a1/Fn1/Il6/Inhba/Notch1/Rgcc",9
"GO:0045123","cellular extravasation","10/744","82/28832",0.121951219512195,4.72593758195646,5.49894643758963,4.94213641636091e-05,0.000430586825122529,0.000241040515134407,"Adam8/Ccl2/Ccr2/Itgam/Ptafr/Ptger4/Sele/Selp/St3gal4/Vcam1",10
"GO:0032945","negative regulation of mononuclear cell proliferation","11/744","99/28832",0.111111111111111,4.30585424133811,5.36249283125261,5.03830019301806e-05,0.000438210920567997,0.000245308448536889,"Arg1/Arg2/Cd300a/Fcgr2b/H2-Aa/Il10/Lilrb4a/Pdcd1lg2/Sftpd/Tarm1/Tyrobp",11
"GO:0071346","cellular response to type II interferon","12/744","117/28832",0.102564102564103,3.9746346843121,5.2472054705973,5.15833753841717e-05,0.000447881725891385,0.000250722120672005,"Aif1/Arg1/Capg/Ccl2/Cdc42ep2/Cldn1/Gapdh/Ifng/Mrc1/Pim1/Rab20/Tlr4",12
"GO:0051494","negative regulation of cytoskeleton organization","15/744","175/28832",0.0857142857142857,3.32165898617512,5.01369608037832,5.23581704900248e-05,0.000453830580514564,0.000254052262002788,"Capg/Carmil1/Ckap2/Coro2b/Kank2/Plekhh2/Ppp1r9a/S1pr1/Scin/Shank3/Sptan1/Sptbn1/Ssh2/Tjp1/Tmod1",15
"GO:0032930","positive regulation of superoxide anion generation","6/744","27/28832",0.222222222222222,8.61170848267622,6.44000199629066,5.38888019213625e-05,0.000463073142604585,0.000259226205554605,"Clec7a/Cxcl1/Cyba/Itgam/Mapt/Tyrobp",6
"GO:0060143","positive regulation of syncytium formation by plasma membrane fusion","6/744","27/28832",0.222222222222222,8.61170848267622,6.44000199629066,5.38888019213625e-05,0.000463073142604585,0.000259226205554605,"Ccl8/Dcstamp/Il4/Ocstamp/Trem2/Tyrobp",6
