"gene_id","Control72h1","Control72h2","Control72h3","OVA72h1","OVA72h2","OVA72h3","OVA72h4"
"Tcaf1",22.8419914,20.79954913,25.96301419,15.63920626,17.33077958,16.92423854,16.67017054
"Tcaf2",2.871922925,3.073060922,2.836331659,5.575784701,5.060885212,5.495382172,4.941456681
"Tcaf3",0.151468982,0,0.115912878,0,0,0,0.016319946
"Tcaim",18.8757932,20.88420996,15.88737588,16.29901613,13.00429453,16.3096943,13.14405648
"Tcam1",0,0,0,0.016713693,0.168452766,0.015822492,0
"Tcap",9.30833583,14.5427712,4.089472115,5.263380418,1.151135926,3.63242938,3.078841044
"Tcea1",82.10826261,84.62590241,80.51794011,92.4212354,93.90955372,104.9077168,82.77136531
"Tcea2",3.890375774,3.660305145,3.116914266,3.664073165,4.146086656,3.174636537,3.318028829
"Tcea3",5.247589498,6.547207495,3.488721704,2.926892869,2.274104491,4.015510798,3.103204378
"Tceal1",11.73246569,7.972050102,10.9065242,8.273257992,8.55738116,8.86731955,9.135332562
"Tceal3",0.827136161,1.026885148,0.853909715,0.799663745,0.666799491,1.04819224,0.762375132
"Tceal5",0.160503285,0.142604453,0.202514875,0.460343716,0,0.100124282,0.100506731
"Tceal6",0.015597706,0.029166849,0.054054803,0.049846836,0.081657909,0.044921544,0
"Tceal7",0,0,0,0.046431541,0,0,0
"Tceal8",16.45245412,15.4188247,14.85863902,26.3820294,25.09593294,22.05718781,21.50907999
"Tceal9",26.97649222,22.2092566,21.41056915,47.21746971,44.08391341,38.51339719,40.29636736
"Tceanc",1.403083104,1.533047155,1.506431325,2.282304743,2.072526774,2.022657934,2.682021307
"Tceanc2",11.10560927,11.02061553,11.7199336,9.575143534,9.121081323,10.55371252,10.04788857
"Tcerg1",6.448294771,8.763950686,8.86383073,7.535849593,5.924769417,6.369525642,8.304234908
"Tcerg1l",0.32598706,0.570384226,0.094291406,0.151973872,0.051374481,0.308685632,0.105701519
"Tcf12",56.19959415,63.57826801,61.52445886,46.89926968,54.36022789,45.90980854,47.77525809
"Tcf15",0.031373813,0.144400633,0.02758458,0.012819047,0.007122467,0.024951813,0.100227787
"Tcf19",4.491095199,6.480961042,4.875322385,21.23640082,18.41582003,15.46319168,14.05145212
"Tcf20",13.14198608,18.20273546,15.69120245,10.98808554,10.9799127,11.00387916,10.95143509
"Tcf21",28.35079816,22.35156623,30.76179241,37.95534218,42.13093633,28.58139554,32.62924536
"Tcf23",2.013953144,1.894966052,2.604081853,1.223003977,0.769518413,1.185814409,1.179424363
"Tcf24",0.599253703,0.686153548,0.408191727,0.832454749,0.493970319,0.627341694,0.603371503
"Tcf25",22.07972164,22.48799705,26.59024284,20.47282918,20.34182496,19.35297423,21.37971048
"Tcf3",14.65792357,17.46327724,18.07619522,14.21373024,12.2528203,15.00436076,15.64388452
"Tcf4",55.21498244,55.26145765,60.37611714,33.55121148,43.84134082,34.07062904,36.26542209
"Tcf7",5.989724887,9.105953128,2.353141056,5.019774812,5.460548296,5.570440329,4.613864468
"Tcf7l1",6.480444384,8.400057022,7.555537749,3.051480107,3.120970911,4.209714061,5.318014256
"Tcf7l2",1.757458358,2.175497733,2.211253443,1.837519657,1.751954635,1.601361407,1.6091231
"Tcfl5",0.01908245,0,0,0.091972677,0,0,0
"Tchh",2.437760408,3.363894016,3.295384783,2.019976937,2.307225955,2.75771219,2.526785393
"Tchhl1",0,0,0,0.053259734,0,0,0
"Tchp",4.420888799,5.561513544,4.918969345,2.842590727,2.940151091,3.719582044,4.592174879
"Tcim",115.0451737,77.16253751,93.61833187,99.14996455,99.40489431,93.89564982,69.08140212
"Tcirg1",85.41287845,84.26652405,82.85226054,117.7346939,113.0501791,101.7524189,138.1707765
"Tcl1",0,0,0,0,0,0,0
"Tcl1b1",0,0,0,0,0,0,0
"Tcl1b2",0,0,0,0,0,0,0
"Tcl1b3",0,0,0,0,0,0,0
"Tcl1b4",0,0,0,0,0,0,0
